"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"479",16,4,8,4,249.860609604046,4.6366979633458,0.0320402447491818,0.0269033236615737,"FUSClone110","2h","R1"
"480",16,5,4,0,162.0145575325,1.92932021478191,0.0292484931381685,0,"FUSClone110","2h","R1"
"481",16,6,2,6,251.410666772863,3.37683682586066,0.0393149436075384,0.028870408619401,"FUSClone110","2h","R1"
"482",16,7,3,4,176.634272269206,2.42938889376819,0.0261141631597032,0.024742345147792,"FUSClone110","2h","R1"
"483",16,8,5,3,261.932342268992,2.90215915511362,0.0318140663432352,0.0297192438906507,"FUSClone110","2h","R1"
"484",16,9,5,20,168.040208086604,3.41716643120162,0.0354486265938197,0.0380825120000525,"FUSClone110","2h","R1"
"485",16,10,5,5,199.208347296342,2.81806669780053,0.0333768216396372,0.0314583621563849,"FUSClone110","2h","R1"
"486",16,11,4,0,379.49590400164,3.78440530761145,0.0333531340695031,0,"FUSClone110","2h","R1"
"487",16,12,10,19,264.324804207776,4.85966280126013,0.0314815192027597,0.0326312276908052,"FUSClone110","2h","R1"
"488",16,13,4,21,147.135409088805,3.84867631364614,0.032034182276988,0.0323427664684429,"FUSClone110","2h","R1"
"489",16,14,7,12,101.466194157023,3.33617153484374,0.0276425902155184,0.0307646392695818,"FUSClone110","2h","R1"
"490",16,15,7,10,289.79702533246,3.94047457561828,0.034363006078163,0.0308259221811831,"FUSClone110","2h","R1"
"491",16,16,10,7,167.010040818714,3.63540095160715,0.0281132220809481,0.0348824109338845,"FUSClone110","2h","R1"
"492",16,17,14,8,198.161578319035,5.49919895105995,0.0314775079921926,0.0347520126587852,"FUSClone110","2h","R1"
"493",16,18,3,16,282.108507894212,2.47640194138512,0.0327176321918766,0.0318911042259329,"FUSClone110","2h","R1"
"494",16,19,10,10,166.145525929984,4.86923021590337,0.0321051603214194,0.0329153300022396,"FUSClone110","2h","R1"
"495",16,20,12,2,311.50338076055,7.99679564521648,0.0395153501404995,0.0306477453559637,"FUSClone110","2h","R1"
"496",16,21,3,1,245.56556108105,2.22581828245893,0.0289718568295477,0.0263703644106334,"FUSClone110","2h","R1"
"497",16,22,3,12,168.267918535275,3.90971239120699,0.0270529744991412,0.0289546093439589,"FUSClone110","2h","R1"
"498",16,23,5,12,287.838743454777,2.92411690787412,0.0296051033705664,0.0326067184357647,"FUSClone110","2h","R1"
"499",16,24,3,5,157.749310071813,2.03981079836376,0.032896897289902,0.0312485411773612,"FUSClone110","2h","R1"
"500",16,25,9,15,372.593455129536,8.80021366500296,0.0347972856520954,0.032923399738754,"FUSClone110","2h","R1"
"501",16,26,5,7,167.053788798628,6.84203864377923,0.0356983861309432,0.0318487144527025,"FUSClone110","2h","R1"
"502",16,27,6,6,189.054429414682,2.76067751855589,0.030738709639344,0.0381487454008675,"FUSClone110","2h","R1"
"503",16,28,8,0,329.451927306829,5.36371407634579,0.0377575250624707,0,"FUSClone110","2h","R1"
"504",16,29,0,6,171.817441660911,1.36336310207844,0,0.0318086439799298,"FUSClone110","2h","R1"
"505",16,30,14,6,220.421683901688,7.06112768338062,0.0322250626387303,0.0304655672684437,"FUSClone110","2h","R1"
"506",16,31,12,1,218.368094180478,5.33076984761283,0.0309793537412065,0.027020676061511,"FUSClone110","2h","R1"
