,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,Multiple,EPHA6,GUSClone110,,0.822252052829972,0.191038866148762,0.191038866148762,0.0779912905173868,0.0779912905173868,0.826832146471439,0.20527114509322,0.20527114509322,0.0838015940658668,0.0838015940658668,0.826832146471439,0.20527114509322,0.20527114509322,0.0838015940658668,0.0838015940658668,6,14.8261395125971,0.335190193641099,0.13684082353423
,Multiple,EPHA6,GUSU2OS,*,1,0.119687158104247,0.119687158104247,0.048862077686537,0.048862077686537,1,0.142298429827786,0.142298429827786,0.0580930907128855,0.0580930907128855,1,0.142298429827786,0.142298429827786,0.0580930907128855,0.0580930907128855,6,14.5437921225995,0.172672069455091,0.0704930771658982
,Multiple,FANCA,FUSClone110,,1.13962437259361,0.123459563893866,0.123459563893866,0.0263216674631234,0.0263216674631234,0.990811943258079,0.182731096475593,0.182731096475593,0.0389584006690425,0.0389584006690425,0.990811943258079,0.182731096475593,0.182731096475593,0.0389584006690425,0.0389584006690425,22,21.283494709504,0.156292287935746,0.0333216277487584
,Multiple,FANCA,GUSClone110,,0.654910279220153,0.0811982791545018,0.0811982791545018,0.0173115312825826,0.0173115312825826,0.658558248714742,0.0999317680366274,0.0999317680366274,0.0213055245320916,0.0213055245320916,0.658558248714742,0.0999317680366274,0.0999317680366274,0.0213055245320916,0.0213055245320916,22,22.0826839104999,0.178870844422246,0.0381353921659557
,Multiple,FANCA,GUSU2OS,*,1,0.165429046799086,0.165429046799086,0.036991059409575,0.036991059409575,1,0.18245710959356,0.18245710959356,0.0407986500029329,0.0407986500029329,1,0.18245710959356,0.18245710959356,0.0407986500029329,0.0407986500029329,20,21.4720530908273,0.238663665436029,0.0533668179674229
,Multiple,FANCD2,FUSClone110,,1.17850289457667,0.144841246169949,0.144841246169949,0.0341394091207602,0.0341394091207602,1.02461369833056,0.198102457780948,0.198102457780948,0.0466931970888767,0.0466931970888767,1.02461369833056,0.198102457780948,0.198102457780948,0.0466931970888767,0.0466931970888767,18,23.4749935650028,0.177311187377799,0.0417926476583602
,Multiple,FANCD2,GUSClone110,,0.655443708342421,0.0750971304001373,0.0750971304001373,0.0177005633845292,0.0177005633845292,0.659094649134342,0.0950133341833765,0.0950133341833765,0.0223948576347364,0.0223948576347364,0.659094649134342,0.0950133341833765,0.0950133341833765,0.0223948576347364,0.0223948576347364,18,24.3214050795734,0.165296052482159,0.0389606532045008
,Multiple,FANCD2,GUSU2OS,*,1,0.125948766282548,0.125948766282548,0.0296864089068231,0.0296864089068231,1,0.147603926250212,0.147603926250212,0.0347905790604281,0.0347905790604281,1,0.147603926250212,0.147603926250212,0.0347905790604281,0.0347905790604281,18,23.7119488670667,0.181705660521915,0.0428284349116757
,Multiple,GAPDH,FUSClone110,,1.11617662114848,0.121932992165864,0.121932992165864,0.0248894678014288,0.0248894678014288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,14.3617713181229,0.157602407885448,0.0321704567961114
,Multiple,GAPDH,GUSClone110,,1.06954145902385,0.135127578822982,0.135127578822982,0.0275828015245017,0.0275828015245017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,14.4233442447062,0.18227239927022,0.037206197700407
,Multiple,GAPDH,GUSU2OS,*,1,0.108093271081347,0.108093271081347,0.0220644465648033,0.0220644465648033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,14.5203366520047,0.155945626142525,0.0318322676390013
,Multiple,GINS4,FUSClone110,,1.38646197016643,0.110036836389515,0.110036836389515,0.0259359310637803,0.0259359310637803,1.20541742696117,0.203767182530403,0.203767182530403,0.0480283855168416,0.0480283855168416,1.20541742696117,0.203767182530403,0.203767182530403,0.0480283855168416,0.0480283855168416,18,22.1477680580613,0.114499785490119,0.0269878582548226
,Multiple,GINS4,GUSClone110,,0.518164843596363,0.0568161409518669,0.0568161409518669,0.0133916928493053,0.0133916928493053,0.521051116117324,0.0730900812642004,0.0730900812642004,0.017227497366464,0.017227497366464,0.521051116117324,0.0730900812642004,0.0730900812642004,0.017227497366464,0.017227497366464,18,23.5676930626056,0.158189745612224,0.0372856806121929
,Multiple,GINS4,GUSU2OS,*,1,0.134537298342471,0.134537298342471,0.0317107453268264,0.0317107453268264,1,0.154997135333765,0.154997135333765,0.036533175152998,0.036533175152998,1,0.154997135333765,0.154997135333765,0.036533175152998,0.036533175152998,18,22.6191761027079,0.194096293133282,0.0457489350259053
,Multiple,MCM4,FUSClone110,,0.981751738341868,0.0867996855384294,0.0867996855384294,0.0204588820830278,0.0204588820830278,0.85355435620398,0.148070196448638,0.148070196448638,0.0349004800001521,0.0349004800001521,0.85355435620398,0.148070196448638,0.148070196448638,0.0349004800001521,0.0349004800001521,18,20.2869583836588,0.127553098188055,0.0300645535633756
