"","ensgene","symbol","entrez","W_1","W_2","W_3","C_1","C_2","C_3","F_1","F_2","F_3","WTvsKOlog2FoldChange","WTvsKOpadj","REvsKOlog2FoldChange","REvsKOpadj","WTvsRElog2FoldChange","WTvsREpadj","WT_KO_sign","RE_KO_sign","diff"
"48","ENSG00000075420","FNDC3B",64778,1619.65973157556,1677.07778745786,1625.55503055082,646.67634146867,1049.47466321752,1128.90854355018,2455.86142936081,2517.09771906236,2052.42276992685,0.739648389814526,0.00160875729654566,1.21644835704146,1.43356709451583e-08,-0.47679996722693,0.0755753130434381,1,1,0
"49","ENSG00000075618","FSCN1",6624,9169.05868075583,10004.1937038638,8080.82394840573,2987.02881535529,2474.85206944205,1624.66098088332,5017.7600528203,4963.90158445542,5053.99352233413,1.79796119320748,1.59885994560776e-18,1.00215361589513,8.87278662797433e-06,0.795807577312347,0.000645311455433955,1,1,0
"50","ENSG00000075651","PLD1",5337,573.235163762971,603.471453555213,748.089189284301,332.040854418696,390.213761141788,379.234126119583,962.337553989859,1109.29478667171,831.114163487488,0.753463682459578,0.000242802763960456,1.31510710491118,2.08419196183228e-12,-0.561643422451598,0.00943410155670192,1,1,0
"51","ENSG00000077782","FGFR1",2260,1665.62670225467,1742.26455658166,1725.71759982738,621.237727622076,796.646676169664,863.994269942007,1233.43264456289,1192.10672387116,1211.55374536556,1.1171135340352,5.66079827736599e-12,0.64080858284875,0.000476287363543374,0.476304951186451,0.0129126481977914,1,1,0
"52","ENSG00000078018","MAP2",4133,182.515912990569,275.562251296079,206.585299132903,777.886033940574,1301.34858238973,1108.02318587983,349.122459815448,431.392417038996,431.164859461819,-2.0630748360111,1.36807604417655e-20,-1.27801867277416,6.21452960123419e-08,-0.785056163236937,0.00263818953860233,-1,-1,0
"53","ENSG00000078098","FAP",2191,23.6594702024811,36.5440978421324,15.6504014494624,100.415580973396,47.7033937826146,61.5568436599903,13.0045615404035,8.6663655208727,14.6322916106952,-1.14128271526693,0.00448177467489544,-1.85629890107,8.92471503567261e-07,0.715016185803064,0.112815084196275,-1,-1,0
"54","ENSG00000078114","NEBL",10529,76.3862895108676,85.928013845014,110.596170242867,133.887441297861,181.272896373936,220.945099565322,110.038597649568,107.848104259749,113.156388456043,-0.886969691953679,0.00101495546444857,-0.631550867498066,0.0387091799753353,-0.255418824455613,0.552826320091015,-1,-1,0
"55","ENSG00000078295","ADCY2",108,57.4587133488827,53.3346292831121,51.1246447349104,95.0600833214815,86.8201766843586,93.4344948410568,54.0189479370607,49.1094046182786,61.4556247649199,-0.682153492939007,0.020228419201137,-0.664721604174358,0.0311747146506209,-0.0174318887646491,0.982771789766199,-1,-1,0
"56","ENSG00000078401","EDN1",1906,529.296147672649,661.744474438613,502.899566576057,275.808129073594,377.810878758308,274.807337767814,517.18140895297,685.605805651262,416.532567851124,0.787629831650388,0.00212654813400229,0.728430129161512,0.00690898871748446,0.0591997024888767,0.920283009421099,1,1,0
"57","ENSG00000078549","ADCYAP1R1",117,70.3024257445153,103.706223606051,118.943051015914,29.4552370855295,51.5196652852238,64.8545317132041,102.035790547781,92.4412322226421,76.0879163756151,0.82673610200074,0.0174814207858834,0.734320161055719,0.049676050885461,0.0924159409450208,0.900068644065467,1,1,0
