UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
Q86WR7,PROSER2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P51531,SMARCA2,NA,NA,NA,NA,NA,NA,8,6,2
Q8TB72,PUM2,7,5,5,NA,NA,NA,5,3,3
Q6NYC8,PPP1R18,NA,NA,NA,5,4,4,NA,NA,NA
Q8TAQ2,SMARCC2,6,5,3,8,6,4,12,7,4
P17540,CKMT2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92793,CREBBP,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42765,ACAA2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13423,NNT,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14639,ABLIM1,NA,NA,NA,16,10,10,NA,NA,NA
Q92538,GBF1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5SRE5,NUP188,NA,NA,NA,2,2,2,NA,NA,NA
P53680,AP2S1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y5A9,YTHDF2,NA,NA,NA,3,2,1,NA,NA,NA
Q9H3P7,ACBD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C4DH72,IGKV1-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6R0,NUMBL,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95159,ZFPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UK41,VPS28,NA,NA,NA,NA,NA,NA,NA,NA,NA
P10916,MYL2,NA,NA,NA,NA,NA,NA,2,2,2
Q9Y5V3,MAGED1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92600,CNOT9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92734,TFG,53,12,12,19,9,9,25,9,9
Q92785,DPF2,NA,NA,NA,NA,NA,NA,NA,NA,NA
